,ID,Keyword,Tweets,sentiment
4662,1,Amazon,@amazon wtf . ,Negative
4663,1,Amazon,@ amazon wtf.,Negative
4665,1,Amazon,@amazon wtf?,Negative
4666,1,Amazon,7 @amazon wtf.,Negative
4667,1,Amazon,<unk> wtf.,Negative
4668,2,Amazon,"I’m really disappointed with amazon today! I ordered a kindle from lightning deal, but then the order was canceled due to payment issue! When i try to order it again, it says the deal is already claimed, which is so disappointing! @amazonIN @AmazonHelp",Negative
4669,2,Amazon,"I am really disappointed with Amazon today! I ordered a lightning deal, but then the order was cancelled due to payment difficulties! When I try to order it again, it says the deal has already been completed, which is so disappointing! @ amazonIN @ AmazonHelp",Negative
4670,2,Amazon,"I'm really disappointed with amazon today! I ordered a Kindle from lighting deal, but then the order was cancelled due to payment issue! When i try to order it again, it says the deal is already claimed, which is so disappointing! @ amazonIN @ AmazonHelp",Negative
4671,2,Amazon,"I’m extremely disappointed with amazon today! I ordered a kindle from lightning deal, and then the order was canceled leading to payment issue! When i try to order back again, it says the deal is already claimed, which is so disappointing! Thanks @amazonIN",Negative
4672,2,Amazon,"I mean ’ wa m really disappointed with amazon sale today! I ordered a fresh kindle from lightning deal, 2007 but then the order was automatically canceled due to bad payment issue! When about i try to order with it again, it says out the deal is already claimed, which is so disappointing! @amazonIN @AmazonHelp",Negative
4673,2,Amazon,"I’m really bad on amazon today! I ordered a kindle from lightning deal, but later the order was cancelled due to hardware issue! When i try to request email again, it says the delivery is already claimed, which am so disappointing! @amazonIN @AmazonHelp",Negative
4674,3,Amazon,"Admit it subs, you leak over the thought of a cheeky hot lad spending your cash. Don’t you? . . . Send it forward - £wokebored. . DM me for my Amazon list . . .  ",Positive
4675,3,Amazon,"Admit it, subs, you're leaking the thought of a cheeky chap spending your money, aren't you?... Send it on - £wokebored... DM for my Amazon list...",Neutral
4676,3,Amazon,"Admit it, you're skipping past the thought of a boring hot guy spending his money. Don't you?... Send it forward - and I'm for my Amazon list...",Negative
4677,3,Amazon,"Admit it subs, you leak imagine the thought of a tall hot lad spending your cash. Can you?... Send me forward - £wokebored.. DM me for my Amazon list...",Positive
4678,3,Amazon,"Admit all it subs, you leak out over the innocent thought... of a cheeky hot lad finally spending your cash. The Don ’ t who you?... 9 Send it immediately forward - £wokebored.. DM me for my free Amazon list...",Positive
